가까이	靠近	有時	結局	這些
몸무게	重量	勞疾	身體內	手勢
몸살	勞疾	身體內	手勢	身軀
몸속	身體內	手勢	身軀	釘子
몸짓	手勢	身軀	釘子	描述
몸통	身軀	釘子	描述	漠不關心
몹시	相當	全部	足足有	安全地
못	釘子	非常	提前	亂
못나다	醜陋的	壞	不亞於	無闗
못되다	壞	不亞於	無闗	熱
못지않다	不亞於	無闗	熱	滑
몽땅	全部	足足有	安全地	默默
묘사	描述	漠不關心	武器	花紋
무-	無	有	勿	沒
무관심	漠不關心	武器	花紋	舞台
무관하다	無闗	熱	滑	不冷不熱
무기	武器	花紋	舞台	暑熱
무너지다	倒塌	害怕的	住	繫
무늬	花紋	舞台	暑熱	墳墓
무대	舞台	暑熱	墳墓	一群
무더위	暑熱	墳墓	一群	忽視
무덤	墳墓	一群	忽視	貿易
무덥다	熱	滑	不冷不熱	討厭
무려	足足有	安全地	默默	突然
무렵	時分	忽視	貿易	跳舞
무리	一群	忽視	貿易	跳舞
무사히	安全地	默默	突然	還沒有
무서워하다	害怕的	住	繫	感謝
무시	忽視	貿易	跳舞	無意義
무역	貿易	跳舞	無意義	彩虹
무용	跳舞	無意義	彩虹	不負責任
무의미	無意義	彩虹	不負責任	文具店
무조건	無條件	馬上	平常	日日夜夜
무지개	彩虹	不負責任	文具店	文明
무책임	不負責任	文具店	文明	花店
묵다	住	睡	繫	沾
묵묵히	默默	突然	還沒有	與
묶다	繫	謀生	沾	埋
묶이다	繫	沾	埋	買
문구점	文具店	文明	花店	文法
문득	突然	還沒有	與	立即
문명	文明	文具店	文法	探病
문방구	文具店	文法	探病	文書
문법	文法	探病	文書	諮詢
문병	探病	文書	諮詢	文字
문서	文書	諮詢	文字	文章
문의	諮詢	文字	文章	問題
문자	文字	文章	問題	文學
문장	文章	問題	文學	文化遺產
문제점	問題	文學	文化遺產	水邊
문학	文學	文化遺產	水邊	物價
문화재	文化遺產	水邊	物價	顏料
문화적	文化的	物質的	合法的	部分的
묻다	沾	問一下	滑	相信
묻다	埋	問一下	滑	相信
묻히다	沾	埋	咬	染色
묻히다	埋	埋	咬	染色
물가	水邊	物價	顏料	海浪
물가	物價	物價	顏料	海浪
물감	顏料	海浪	水氣	水聲
물결	海浪	水氣	水聲	水中
물기	水氣	水聲	水中	藥水
물다	咬	染色	退後	問
물들다	染色	喝	退後	被咬
물러나다	退後	戲弄	被咬	結成塊
물러서다	退後	被咬	結成塊	延到
물리다	被咬	結成塊	延到	瘋
물소리	水聲	水中	藥水	提問
물속	水中	藥水	提問	物質
물약	藥水	提問	物質	音樂劇
물음	提問	物質	音樂劇	美國人
물질	物質	音樂劇	美國人	小型的
물질적	物質的	合法的	部分的	否定的
뭉치다	結成塊	延到	瘋	造成
뭘	什麼	噓	不是	啊
뮤지컬	音樂劇	美國人	小型的	媒體
미국인	美國人	小型的	媒體	迷戀
미끄럽다	滑	不冷不熱	討厭	忙
미니	小型的	媒體	迷戀	以下
미디어	媒體	迷戀	以下	未成年
미련	迷戀	以下	未成年	微笑
미루다	延到	瘋	造成	堵
미만	以下	未成年	微笑	微小
미성년자	未成年	微笑	微小	美術
미소	微笑	微小	美術	美髮師
미소하다	微小	美術	美髮師	恨
미술	美術	美髮師	恨	美人
미용사	美髮師	恨	美人	美容院
미움	恨	美人	美容院	聯誼
미인	美人	美容院	聯誼	單身的
미장원	美容院	聯誼	單身的	民俗遊戲
미지근하다	不冷不熱	討厭	忙	歡迎
미처	還沒有	與	立即	務必
미치다	瘋	造成	堵	擠
미치다	造成	造成	堵	擠
미팅	聯誼	單身的	民俗遊戲	民族
미혼	單身的	民俗遊戲	民族	民主主義
민속놀이	民俗遊戲	民族	民主主義	信任
민족	民族	民主主義	信任	底部
민주주의	民主主義	信任	底部	劃線
믿음	信任	底部	劃線	百貨公司
밀리다	堵	擠	看	換成
밀리다	擠	擠	看	換成
밀리미터	毫米	公斤	公尺	公里
밉다	討厭	忙	歡迎	複雜
및	與	立即	務必	已經
밑바닥	底部	劃線	百貨公司	春天
밑줄	劃線	百貨公司	春天	粉紅色
나뉘다	分開	搬運	訓斥	變糟
나란히	並排	每時每刻	太	廣泛地
나르다	搬運	訓斥	變糟	出去
나름	取決於	訓斥	變糟	出去
나무라다	訓斥	變糟	出去	向前
나물	野菜	樹枝	葉子	蝴蝶
나뭇가지	樹枝	葉子	蝴蝶	刀
나뭇잎	葉子	蝴蝶	刀	落葉
나비	蝴蝶	刀	落葉	壁爐
나빠지다	變糟	出去	向前	好轉
나서다	出去	向前	好轉	出現
나아가다	向前	好轉	出現	飄
나아지다	好轉	出現	飄	飛揚
나이프	刀	落葉	壁爐	戰亂
나타내다	出現	飄	飛揚	飛走
낙엽	落葉	壁爐	戰亂	暖房
난로	壁爐	戰亂	暖房	翅膀
난리	戰亂	暖房	翅膀	男
난방	暖房	翅膀	男	南
난처하다	尷尬的	鋒利的	破舊	奇怪的
날개	翅膀	男	南	兄弟姐妹
날리다	飄	飛揚	飛走	飛來
날리다	飛揚	飛揚	飛走	飛來
날아가다	飛走	飛來	降低	生
날아오다	飛來	降低	生	拿出
날카롭다	鋒利的	破舊	奇怪的	冷靜
낡다	破舊	奇怪的	冷靜	寛容
남	男	男女	南大門	弟弟
남	南	男女	南大門	弟弟
남매	兄弟姐妹	南美洲	南方	南北
남미	南美洲	南方	南北	浪費
남부	南方	南北	浪費	下個月
남북	南北	浪費	下個月	裡面
낭비	浪費	下個月	裡面	內外
낮추다	降低	生	拿出	眺望
낯설다	奇怪的	冷靜	寛容	寬裕
낳다	生	拿出	眺望	放下
내	-內	你	你們	他
내내	每時每刻	太	廣泛地	再次
내놓다	拿出	眺望	放下	向下看
내다보다	眺望	放下	向下看	飛落
내달	下個月	裡面	內外	後年
내려놓다	放下	向下看	飛落	伸
내려다보다	向下看	飛落	伸	丟
내려앉다	飛落	伸	丟	放出去
내밀다	伸	丟	放出去	推舉上
내버리다	丟	放出去	推舉上	拿出
내보내다	放出去	推舉上	拿出	趕到
내부	裡面	內外	後年	冷凍
내성적	內向的	合乎邏輯的	代表的	文化的
내세우다	推舉上	拿出	趕到	晾
내외	內外	後年	冷凍	冷氣
내주다	拿出	趕到	晾	擴大
내쫓다	趕到	晾	擴大	逃跑
내후년	後年	冷凍	冷氣	冷水
낼모레	後天	全	略	我自己
냉동	冷凍	冷氣	冷水	那邊
냉방	冷氣	冷水	那邊	寬度
냉수	冷水	那邊	寬度	正方形
냉정하다	冷靜	寛容	寬裕	驚人
너그럽다	寛容	寬裕	驚人	炫耀
너머	那邊	寬度	正方形	網友
너무나	太	廣泛地	再次	更多的
넉넉하다	寬裕	驚人	炫耀	輕鬆
널다	晾	飛	擴大	交出
널리	廣泛地	再次	更多的	更
넓어지다	擴大	謀生	交出	越過
넓이	寬度	正方形	網友	勞動
넓히다	擴大	交出	越過	倒下
넘겨주다	交出	越過	倒下	擊倒
넘기다	越過	倒下	擊倒	超出
넘어가다	倒下	擊倒	超出	倒了
넘어뜨리다	擊倒	超出	倒了	溢出
넘어서다	超出	倒了	溢出	盯
넘어오다	倒了	溢出	盯	熔化
넘치다	溢出	盯	熔化	不足
네모	正方形	網友	勞動	工人
네티즌	網友	勞動	工人	黃色的
녀석	-傢伙			
년대	-年代			
년도	-年度			
노동	勞動	工人	黃色的	路線
노동자	工人	黃色的	路線	路線圖
노랑	黃色的	路線	路線圖	老人
노려보다	盯	戲弄	熔化	爬上
노선	路線	路線圖	老人	筆記本電腦
노선도	路線圖	老人	筆記本電腦	錄音
노약자	老人	筆記本電腦	錄音	錄音機
노트북	筆記本電腦	錄音	錄音機	記錄
녹다	熔化	結合	戲弄	玩
녹음	錄音	錄音機	記錄	邏輯
녹음기	錄音機	記錄	邏輯	爭論
녹이다	熔化	戲弄	玩	上升
녹화	記錄	邏輯	爭論	錄影
논리	邏輯	理論	爭論	遊樂園
논리적	合乎邏輯的	代表的	文化的	物質的
논의	爭論	家庭	論文	遊樂園
논쟁	爭論	論說	遊樂園	農民
놀랍다	驚人	炫耀	輕鬆	膩
놀리다	戲弄	玩	上升	增高
놀리다	玩	玩	上升	增高
놀이공원	遊樂園	操場	農民	民眾
놀이터	遊樂園	教訓	農民	農業
농민	農民	民眾	農業	農活
농부	農民	農業	農活	農產品
농사	農業	農活	農產品	漁業
농사일	農活	農產品	農業	鄉村
농산물	農產品	農業	鄉村	敬語
농업	農業	鄉村	敬語	腦
농촌	鄉村	敬語	腦	姐姐
높아지다	上升	增高	放在	放心
높이다	增高	放在	放心	放
높임말	敬語	腦	姐姐	眼角
놓아두다	放在	放心	拿起	移到
놓이다	放心	放	放在	閉眼
놓치다	放	放在	閉眼	醒來
놔두다	放在	閉眼	醒來	臥
뇌	腦	姐姐	眼角	目光
누님	姐姐	眼角	目光	瞳孔
눈가	眼角	目光	瞳孔	眼病
눈감다	閉眼	醒來	臥	增加
눈길	目光	瞳孔	眼病	眼角
눈동자	瞳孔	眼病	目光	雪人
눈뜨다	醒來	臥	增加	減少
눈병	眼病	目光	雪人	雪仗
눈부시다	炫耀	輕鬆	膩	不同的
눈빛	目光	雪人	雪仗	眉
눈사람	雪人	雪仗	眉	眼前
눈싸움	雪仗	眉	眼前	察眼觀色
눈썹	眉	眼前	察眼觀色	深秋
눈앞	眼前	察眼觀色	深秋	晚冬
눈치	察眼觀色	深秋	晚冬	晚春
눕히다	臥	戲弄	增加	一直
느긋하다	輕鬆	膩	不同的	甜的
느끼하다	膩	不同的	甜的	鬱悶
늘리다	增加	謀生	一直	排隊
늘어나다	增加	一直	排隊	拉長
늘어놓다	一直	排隊	拉長	遲到
늘어서다	排隊	拉長	遲到	延緩
늘이다	拉長	遲到	延緩	去一趟
늦가을	深秋	晚冬	晚春	晚夏
늦겨울	晚冬	晚春	晚夏	睡過頭了
늦봄	晚春	晚夏	睡過頭了	圖書館
늦어지다	遲到	延緩	去一趟	去
늦여름	晚夏	睡過頭了	圖書館	動物園
늦잠	睡過頭了	圖書館	動物園	腿
늦추다	延緩	去一趟	去	受傷
님	先生	去一趟	去	受傷
아가	嬰兒	孩子	兒子	樓下
아깝다	捨不得	無所謂	放棄	不好
아끼다	省	浪費	擁抱	痛惜
아냐	沒有	哎	天哪	啊哈
아동	孩子	兒子	樓下	晚輩
아드님	兒子	樓下	晚輩	父母
아래층	樓下	晚輩	樓上	遺憾
아랫사람	晚輩	樓下	遺憾	亞洲
아랫집	樓下	遺憾	亞洲	主意
아마도	可能	總是	無論如何	根本
아무개	某某人	我	那個	沒有人
아무래도	總是	無論如何	根本	兼具
아무런	沒有	兩	很久	全
아무렇다	無所謂	捨不得	不好	遺憾
아무튼	無論如何	根本	兼具	之前
아쉬움	遺憾	亞洲	主意	早餐
아쉽다	捨不得	不好	遺憾	充實
아시아	亞洲	主意	早餐	早晚
아예	根本	兼具	之前	喵
아울러	兼具	之前	喵	遲早
아이	哎	天哪	啊哈	哦
아이고	天哪	啊哈	哦	哇
아이디어	主意	早餐	早晚	非洲
아침밥	早餐	早晚	非洲	疼痛
아침저녁	早晚	非洲	疼痛	惡夢
아프리카	非洲	疼痛	惡夢	握手
아픔	疼痛	惡夢	握手	惡臭
아하	啊哈	喂	哦	啊
아홉째	第九	第八	第六	第十天
악몽	惡夢	握手	惡臭	惡化
악수	握手	惡臭	惡化	眼科
악취	惡臭	惡化	眼科	案內書
악화	惡化	眼科	案內書	案內所
안과	眼科	案內書	案內所	案內員
안기다	擁抱	㧓	痛惜	坐
안기다	擁抱	㧓	痛惜	坐
안내서	案內書	案內所	案內員	告示牌
안내소	案內所	案內員	告示牌	內室
안내원	案內員	告示牌	內室	安否
안내판	告示牌	內室	安否	臉色
안되다	不好	知道	告知	打聽
안방	內室	安否	臉色	安心
안부	安否	臉色	安心	眼藥水
안색	臉色	安心	眼藥水	安全帶
안심	安心	眼藥水	安全帶	穩定
안약	眼藥水	安全帶	穩定	下酒菜
안전띠	安全帶	穩定	下酒菜	內外
안정	穩定	下酒菜	內外	蛋
안주	下酒菜	內外	蛋	過敏
안타까워하다	痛惜	坐	不	已知
안타깝다	遺憾	充實	淘氣	淺的
안팎	內外	蛋	過敏	癌症
앉히다	坐	不	已知	找出
않다	不	已知	找出	理解
알	蛋	過敏	癌症	記憶
알레르기	過敏	癌症	記憶	壓力
알려지다	已知	找出	理解	猜中
알아내다	找出	理解	猜中	了解
알아듣다	理解	猜中	了解	生病
알아맞히다	猜中	了解	生病	逼近
알아주다	了解	生病	逼近	先於
알차다	充實	淘氣	淺的	愚蠢的
앓다	生病	逼近	先於	使-先行
암	癌症	記憶	壓力	前面的路
암기	記憶	壓力	前面的路	未來
압력	壓力	前面的路	未來	前後
앗	哦	哇	啊	老公
앞길	前面的路	未來	前後	瀏海
앞날	未來	前後	瀏海	近海
앞두다	逼近	先於	使-先行	帶頭
앞뒤	前後	瀏海	近海	前邊人家
앞머리	瀏海	近海	前邊人家	操心
앞바다	近海	前邊人家	操心	嬰兒
앞서	之前	喵	遲早	突然
앞서다	先於	使-先行	帶頭	費心
앞세우다	使-先行	帶頭	費心	偏離
앞장서다	帶頭	費心	偏離	違反
앞집	前邊人家	操心	嬰兒	寵物
애	操心	情人	相冊	棒球
애기	嬰兒	寵物	感情	配飾
애쓰다	費心	偏離	違反	畏懼
애완동물	寵物	感情	配飾	數量
애정	感情	配飾	數量	相框
액세서리	配飾	數量	相框	夜間
액수	數量	相框	夜間	夜景
액자	相框	夜間	夜景	夜班
야간	夜間	夜景	夜班	罵
야경	夜景	夜班	罵	戶外
야근	夜班	罵	戶外	簡圖
야단	罵	戶外	簡圖	弱點
야옹	喵	遲早	突然	還是
야외	戶外	簡圖	弱點	藥物
야하다	淘氣	淺的	愚蠢的	很尷尬
약도	簡圖	弱點	藥物	訂婚
약점	弱點	藥物	訂婚	未婚妻
약품	藥物	訂婚	未婚妻	未婚夫
약혼	訂婚	未婚妻	未婚夫	端莊
약혼녀	未婚妻	未婚夫	端莊	羊
약혼자	未婚夫	端莊	羊	量
얌전	端莊	羊	量	兩國
양	羊	很久	全	各種
양	兩	很久	全	各種
양	量	很久	全	各種
양국	兩國	調味料	陽曆	高麗菜
양념	調味料	陽曆	高麗菜	讓步
양력	陽曆	高麗菜	讓步	陽傘
양배추	高麗菜	讓步	陽傘	形式
양보	讓步	陽傘	形式	良心
양산	陽傘	形式	良心	兩旁
양식	形式	西式餐廳	刷牙	故事
양심	良心	兩旁	兩邊	洋蔥
양옆	兩旁	兩邊	洋蔥	黑暗
양쪽	兩邊	洋蔥	黑暗	苦難
양파	洋蔥	黑暗	苦難	老人
얕다	淺的	愚蠢的	很尷尬	暈眩的
얘	이 아이 的縮語	該怎麼辦	所以	那小孩
어긋나다	偏離	違反	畏懼	辦法
어기다	違反	畏懼	辦法	擱
어느덧	遲早	突然	還是	偶爾
어느새	突然	還是	偶爾	可能
어둠	黑暗	苦難	老人	孩子
어떡하다	該怎麼辦	所以	那小孩	我的
어려움	苦難	老人	孩子	詞彙
어려워하다	畏懼	辦法	擱	乞食
어르신	老人	孩子	詞彙	語調
어리석다	愚蠢的	很尷尬	暈眩的	抑鬱
어린애	孩子	詞彙	語調	提及
어머	哦	啊	老公	喔
어색하다	很尷尬	暈眩的	抑鬱	莊嚴
어저께	昨天	這麼多	錯誤	等一下
어지럽다	暈眩的	抑鬱	莊嚴	很大
어쨌든	還是	偶爾	可能	難怪
어쩌다	偶爾	可能	難怪	多麼
어쩌면	可能	難怪	多麼	反正
어쩐지	難怪	多麼	反正	勉強
어찌나	多麼	反正	勉強	某一天
어찌하다	辦法	擱	乞食	凍結
어차피	反正	勉強	某一天	匆忙
어휘	詞彙	語調	提及	坡道
어휴	啊	老公	喔	我
억양	語調	提及	坡道	舆论
억울하다	抑鬱	莊嚴	很大	不合體
억지로	勉強	某一天	匆忙	沒有
언급	提及	坡道	舆论	污漬
언덕	坡道	舆论	污漬	有些
언론	舆论	污漬	有些	嚴格
언젠가	某一天	匆忙	沒有	非
얹다	擱	乞食	凍結	背
얻어먹다	乞食	凍結	背	刪除
얼룩	污漬	有些	嚴格	行業
얼른	匆忙	沒有	非	還是
얼리다	凍結	背	刪除	用完
얼마간	有些	嚴格	行業	任務
엄격	嚴格	行業	任務	成就
엄숙하다	莊嚴	很大	不合體	寬鬆
엄청나다	很大	不合體	寬鬆	嫰的
업계	行業	任務	成就	公司
업다	背	刪除	用完	趴著
업무	任務	成就	公司	混亂
업적	成就	公司	混亂	無道理
업체	公司	混亂	無道理	活力
없애다	刪除	用完	趴著	視為
없어지다	用完	趴著	視為	請教
없이	沒有	非	還是	全然
엉뚱하다	不合體	寬鬆	嫰的	聰明的
엉망	混亂	無道理	活力	自動扶梯
엉터리	無道理	活力	自動扶梯	女性
엊그제	昨天	一整天	滿腦子	起初
엎드리다	趴著	視為	請教	編
에너지	活力	自動扶梯	女性	閒暇
에스컬레이터	自動扶梯	女性	閒暇	環境
여	女性	閒暇	環境	女高
여가	閒暇	環境	女高	汽車旅館
여간	非	還是	全然	永遠
여건	環境	女高	汽車旅館	粉刺
여고	女高	汽車旅館	粉刺	許多
여관	汽車旅館	粉刺	許多	夏令
여기다	視為	請教	編	打開
여덟째	第八	第六	第十天	第七天
여드름	粉刺	許多	夏令	暑假
여럿	許多	夏令	暑假	無論
여름철	夏令	暑假	無論	餘裕
여름휴가	暑假	無論	餘裕	女士
여보	老公	喔	我	哎
여부	無論	餘裕	女士	遊客
여섯째	第六	第十天	第七天	第一
여유	餘裕	女士	遊客	歷史學家
여유롭다	寬鬆	嫰的	聰明的	正確的
여인	女士	遊客	歷史學家	在歷史上
여전히	還是	全然	永遠	例如
여쭈다	請教	編	打開	窺看
여행가	遊客	歷史學家	在歷史上	角色
역사가	歷史學家	在歷史上	角色	年
역사상	在歷史上	角色	年	每年
역사적	歷史的	藝術的	肉體的	強制性的
역할	角色	年	每年	軟膏
엮다	編	打開	窺看	談得來
연	年	每年	軟膏	關聯
연간	每年	軟膏	關聯	研究
연고	軟膏	關聯	研究	實驗室
연관	關聯	研究	實驗室	沒闗係
연구	研究	英國	實驗室	研究員
연구소	實驗室	避難所	研究員	研究院
연구실	實驗室	研究員	研究院	辦公室
연구원	研究員	研究院	英國	延期
연구원	研究院	研究院	英國	延期
연구자	研究員	延期	煙氣	演技
연기	延期	煙氣	演技	演員
연기	煙氣	煙氣	演技	演員
연기	演技	煙氣	演技	演員
연기자	演員	年度	淺綠色	年齡
연도	年度	淺綠色	年齡	池塘
연두색	淺綠色	年齡	池塘	薪水
연령	年齡	池塘	薪水	演講
연못	池塘	薪水	演講	連續
연봉	薪水	演講	連續	戀愛
연설	演講	連續	戀愛	戀人
연속	連續	戀愛	戀人	延長
연애	戀愛	戀人	延長	演奏
연인	戀人	延長	演奏	演奏會
연장	延長	演奏	演奏會	逾期
연주	演奏	演奏會	逾期	滯納金
연주회	演奏會	逾期	滯納金	演出
연체	逾期	滯納金	演出	煤球
연체료	滯納金	演出	煤球	聯盟
연출	演出	煤球	聯盟	熱氣
연탄	煤球	聯盟	熱氣	果實
연하다	嫰的	聰明的	正確的	勇敢的
연합	聯盟	熱氣	果實	鑰匙圈
열기	熱氣	果實	鑰匙圈	熱情
열리다	打開	上漲	爬上去	爬上來
열매	果實	鑰匙圈	熱情	熱中
열쇠고리	鑰匙圈	熱情	熱中	染色
열정	熱情	熱中	染色	視頻
열중	熱中	染色	視頻	零上
열째	第十天	第七天	第一	千萬
염색	染色	視頻	零上	營養
엿보다	窺看	談得來	上下	爬上
영	全然	永遠	例如	很少
영리하다	聰明的	正確的	勇敢的	有趣的
영상	視頻	零上	營養	營養素
영상	零上	零上	營養	營養素
영양	營養	營養素	營業	區域
영양제	營養素	營業	區域	英雄
영업	營業	區域	英雄	永遠
영역	區域	英雄	永遠	影響
영웅	英雄	永遠	影響	影響力
영원	永遠	影響	影響力	靈魂
영원히	永遠	例如	最近	很久很久
영향	影響	影響力	靈魂	電影導演
영향력	影響力	靈魂	電影導演	古
영혼	靈魂	電影導演	古	例
영화감독	電影導演	古	例	禮
예	古	哇	嗯	不是
예	例	哇	嗯	不是
예	禮	哇	嗯	不是
예감	預感	預告	存款	預防
예고	預告	存款	預防	預報
예금	存款	預防	預報	預備
예방	預防	預報	預備	預算
예보	預報	預備	預算	預想
예비	預備	預算	預想	預賽
예산	預算	預想	預賽	藝術家
예상	預想	預賽	藝術家	結婚禮堂
예선	預賽	藝術家	結婚禮堂	例外
예술가	藝術家	結婚禮堂	例外	禮儀
예술적	藝術的	肉體的	強制性的	異國的
예식장	結婚禮堂	例外	禮儀	禮節
예외	例外	禮儀	禮節	預定
예의	禮儀	禮節	預定	預測
예절	禮節	預定	預測	老故事
예정	預定	預測	老故事	今天
예측	預測	老故事	今天	娛樂
예컨대	例如	永遠	很久很久	專程
옛날이야기	老故事	今天	娛樂	娛樂室
오	喔	我	哎	打擾一下
오가다	談得來	上下	爬上	上
오늘날	今天	娛樂	娛樂室	右腳
오락	娛樂	娛樂室	右腳	右邊
오락실	娛樂室	右腳	右邊	鴨
오래도록	永遠	很久很久	專程	只有
오래오래	很久很久	專程	只有	相當
오랜	很久	全	各種	這
오로지	專程	只有	相當	不知何故
오르내리다	上下	爬上	上	放上
오른발	右腳	右邊	鴨	污染
오른편	右邊	鴨	污染	烏賊
오리	鴨	污染	烏賊	摩托車
오염	污染	烏賊	摩托車	歌劇
오직	只有	相當	不知何故	偶然地
오징어	烏賊	摩托車	歌劇	商務公寓
오토바이	摩托車	歌劇	商務公寓	誤解
오페라	歌劇	商務公寓	誤解	玉米
오피스텔	商務公寓	誤解	玉米	在線的
오해	誤解	玉米	在線的	全身
오히려	相當	不知何故	偶然地	非常
옥수수	玉米	在線的	全身	溫泉
온	全	各種	這	什麼
온갖	各種	這	什麼	這個或那個
온라인	在線的	全身	溫泉	今年三月
온몸	全身	溫泉	今年三月	這個夏天
온종일	一整天	滿腦子	起初	以往
온천	溫泉	今年三月	這個夏天	衣裝
온통	滿腦子	起初	以往	經常
올	今年三月	這個夏天	衣裝	葡萄酒
올라서다	爬上	上	放上	仰望
올라타다	上	放上	仰望	移動
올려놓다	放上	仰望	移動	喊出來
올려다보다	仰望	移動	喊出來	強辯
올바르다	正確的	勇敢的	有趣的	優雅的
올여름	這個夏天	衣裝	葡萄酒	完美
옮기다	移動	喊出來	強辯	響
옷차림	衣裝	葡萄酒	完美	完成
와인	葡萄酒	完美	完成	非常
완벽	完美	完成	非常	往返
완성	完成	非常	往返	外婆家
완전	非常	往返	外婆家	很少
왕복	往返	外部	外婆家	手術
왠지	不知何故	偶然地	非常	異常地
외	之外	-星期	點	每週
외가	外婆家	外表	手術	外交
외갓집	外婆家	手術	外交	外交官
외과	手術	外交	外交官	寂寞
외교	外交	外交官	寂寞	回避
외교관	外交官	寂寞	回避	外貌
외로움	寂寞	回避	外貌	外宿
외면	回避	外貌	外宿	外部
외모	外貌	外宿	外部	叔叔
외박	外宿	外部	叔叔	姨媽
외부	外部	叔叔	姨媽	外出就餐
외삼촌	叔叔	姨媽	外出就餐	獨子
외숙모	姨媽	外出就餐	獨子	外出服
외식	外出就餐	獨子	外出服	大衣
외아들	獨子	外出服	大衣	外婆
외출복	外出服	大衣	外婆	外公
외치다	喊出來	強辯	響	弄哭
외투	大衣	外婆	外公	左腳
외할머니	外婆	外公	左腳	左邊
외할아버지	外公	左腳	左邊	墊被
왼발	左腳	左邊	墊被	瑜伽
왼편	左邊	墊被	瑜伽	要求
요	墊被	什麼	這個或那個	那樣
요	這	什麼	這個或那個	那樣
요가	瑜伽	要求	優酪	料理法
요구	要求	優酪	料理法	這些日子
요구르트	優酪	料理法	這些日子	元素
요리법	料理法	這些日子	元素	概括
요새	這些日子	元素	概括	因素
요소	元素	概括	因素	這些日子
요약	概括	因素	這些日子	要求
요인	因素	這些日子	要求	辱駡
요즈음	這些日子	要求	辱駡	慾望
요청	要求	辱駡	慾望	浴室
욕	辱駡	慾望	浴室	貪婪
욕망	慾望	浴室	貪婪	龍
욕실	浴室	貪婪	龍	要辦的事
욕심	貪婪	龍	要辦的事	勇氣
용	龍	要辦的事	勇氣	用途
용감하다	勇敢的	有趣的	優雅的	隨和的
용건	要辦的事	勇氣	用途	零用錢
용기	勇氣	用途	零用錢	饒恕
용도	用途	零用錢	饒恕	用語
용돈	零用錢	饒恕	用語	補給品
용서	饒恕	用語	補給品	憂慮
용어	用語	補給品	憂慮	水井
용품	補給品	憂慮	水井	優先
우기다	強辯	響	弄哭	逗笑
우려	憂慮	水井	優先	優秀
우물	水井	優先	優秀	優勝
우선	優先	待會	已經	早起
우수	優秀	優勝	偶然	鬱悶
우습다	有趣的	優雅的	隨和的	尚可
우승	優勝	偶然	鬱悶	友誼
우아하다	優雅的	隨和的	尚可	偉大
우연	偶然	鬱悶	友誼	宇宙
우연히	偶然地	非常	異常地	馬上
우울	鬱悶	友誼	宇宙	郵箱
우정	友誼	宇宙	郵箱	正確的
우주	宇宙	郵箱	正確的	郵件
우체통	郵箱	正確的	郵件	信箱
우측	正確的	錯誤	郵件	郵箱
우편	郵件	郵局	郵箱	右轉
우편물	郵件	郵箱	右轉	運氣
우편함	郵箱	右轉	運氣	運動量
우회전	右轉	運氣	運動量	運動員
운	運氣	運動量	運動員	命運
운동량	運動量	運動員	命運	搬運
운동선수	運動員	命運	搬運	營運
운명	命運	搬運	營運	司機
운반	搬運	營運	司機	駕駛執照
운영	營運	司機	駕駛執照	運行
운전기사	司機	駕駛執照	運行	哭聲
운전면허	駕駛執照	運行	哭聲	動靜
운행	運行	哭聲	動靜	長輩
울리다	響	弄哭	逗笑	為了
울리다	弄哭	弄哭	逗笑	為了
울음소리	哭聲	動靜	長輩	笑聲
움직임	動靜	長輩	笑聲	圓
웃기다	逗笑	為了	帶領	像這樣
웃어른	長輩	笑聲	圓	套房
웃음소리	笑聲	圓	套房	原理
워낙	非常	異常地	馬上	像這樣
원	圓	套房	原理	申請書
원래	起初	以往	經常	一切
원룸	套房	原理	申請書	猴
원리	原理	申請書	猴	原因
원만하다	隨和的	尚可	偉大	流利
원서	申請書	猴	原因	原則
원숭이	猴	原因	原則	月：星期一
원인	原因	原則	月：星期一	世界杯
원칙	原則	月：星期一	世界杯	月底
월	月：星期一	世界杯	月底	月租
월드컵	世界杯	月底	月租	為何
월말	月底	月租	為何	危險
월세	月租	為何	危險	慰勞
웬	什麼	這個或那個	那樣	全
웬만하다	尚可	偉大	流利	幼稚
웬일	為何	危險	慰勞	違反
위	-位	下面	位置	危險
위기	危險	慰勞	違反	上下
위대하다	偉大	流利	幼稚	有利
위로	慰勞	違反	上下	委員會
위반	違反	上下	委員會	樓上
위아래	上下	委員會	樓上	危險性
위원회	委員會	樓上	危險性	威脅
위층	樓上	危險性	威脅	上文
위하다	為了	帶領	像這樣	完成
위험성	危險性	威脅	上文	長輩
위협	威脅	上文	長輩	儒教
윗글	上文	長輩	儒教	有能
윗사람	長輩	儒教	有能	誘導
유교	儒教	有能	誘導	遊輪
유난히	異常地	馬上	像這樣	一會兒後
유능	有能	誘導	遊輪	歐洲
유도	誘導	遊輪	歐洲	收費
유람선	遊輪	歐洲	收費	有利
유럽	歐洲	收費	有利	玻璃窗
유료	收費	有利	玻璃窗	幽默
유리	有利	有名	幼兒園	留學
유리창	玻璃窗	幽默	遺物	遺產
유머	幽默	遺物	遺產	唯一
유물	遺物	遺產	唯一	遺跡
유산	遺產	唯一	遺跡	遺跡地
유일	唯一	遺跡	遺跡地	維持
유적	遺跡	遺跡地	維持	愉快
유적지	遺跡地	維持	愉快	流通
유지	維持	愉快	流通	類別
유창하다	流利	幼稚	有利	順手
유치하다	幼稚	有利	順手	小
유쾌	愉快	流通	類別	誘惑
유통	流通	類別	誘惑	陸軍
